EG20230404a1,EG20230404a2,EG20230404a3,EG20230404a4,EG20230404a5,EG20230404a6,EG20230404a7,EG20230404a8,EG20230410b1,EG20230410b2,EG20230410b3,EG20230410b4,EG20230410c1,EG20230410c2,EG20230410c3,EG20230410c4,EG20230410c5,EG20230410c6,EG20230410c8,EG20230410c9,EG20230410c10,EG20230410c11,EG20230410c12,EG20230410c13
7.1156001,2.7149999,13.6316,8.4041996,5.2704,1.6423,,4.4551001,3.5244999,2.6975,,,4.3653998,4.9829998,11.6565,,,4.4591999,10.2992,5.6111999,6.4867001,4.5805998,,1.7494
7.1900001,2.7974,13.7655,8.4967003,5.3016,1.6732,,4.4981999,3.5725999,2.756,,,4.4046998,5.0402999,11.7625,,,4.5095,10.3454,5.6492,6.5362,4.6247001,,1.7793
7.2891998,2.8092999,13.8498,8.5958996,5.3983002,1.7099,,4.5370002,3.6271,2.8480999,,,4.4433999,5.1016998,11.9182,,,4.5591998,10.4422,5.6897998,6.5935001,4.6869998,,1.8139
7.3494,2.8629,13.902,8.6912003,5.4457002,1.7416,,4.6075001,3.6866,2.9015999,,,4.4780002,5.1606002,11.9848,,,4.6094999,10.5461,5.7175002,6.6362,4.7325001,,1.8498
7.4085999,2.8947999,13.9654,8.7578001,5.4821,1.7727,,4.6437001,3.7369001,2.9486001,,,4.5144,5.2164001,12.0396,,,4.6553998,10.6417,5.7631001,6.6855001,4.7832999,,1.8808
7.4987998,2.9079001,14.0949,8.8472004,5.5461001,1.8065,,4.6827002,3.7830999,3.0385001,,,4.5496998,5.2831001,12.0946,,,4.6985002,10.7893,5.8137999,6.7470999,4.829,,1.9143
7.5707002,2.9591,14.1434,8.9279003,5.5895,1.8362,,4.7063999,3.8357,3.0912001,,,4.5784998,5.4028001,12.1402,,,4.7536001,10.8954,5.8615999,6.8566999,4.8712001,,1.9398
7.6258001,3.0105,,8.9970999,5.6364999,1.8871,,4.7558999,3.8787,3.1454,,,4.6048002,5.4615002,12.1933,,,4.8388,10.9761,5.9123001,6.895,4.9320002,,1.9813
7.6891999,3.0560999,,9.0864,5.671,1.933,,4.7951999,3.9463999,3.1953001,,,4.6420002,5.5139999,12.2395,,,4.8859,11.0378,5.9643002,6.9386001,4.9798002,,2.0392001
7.7567,3.0915,,9.1435003,5.7915001,1.9574,,4.8274999,3.9934001,3.2571001,,,4.6771002,5.5784001,12.2831,,,4.9108,11.1346,6.0159001,6.9893999,5.0440001,,2.0973001
7.8249998,3.1063001,,9.2474003,5.8323002,2.0815001,,4.9310002,4.0454001,3.3053,,,4.7149,5.6448002,12.3243,,,5.0022998,11.1966,6.0636001,7.0395999,5.1609998,,2.1405001
7.8901,3.1582999,,9.2958002,5.8785,2.1364999,,4.9836001,4.1115999,3.3852999,,,4.7888999,5.6985998,12.3706,,,5.0521002,11.2845,6.1117001,7.0855999,5.2097998,,2.1767001
7.9366999,3.1984999,,9.3516998,5.9105,2.1715,,5.0256,4.1889,3.4477999,,,4.8189001,5.7467999,12.4298,,,5.0998998,11.3939,6.1608,7.1338,5.2480001,,2.2054999
7.9842,3.2234001,,9.4111996,5.9464998,2.2053001,,5.1152,4.2368002,3.4986999,,,4.8467999,5.8311,12.4786,,,5.1441998,11.4551,6.2132001,7.1803999,5.3072,,2.2458
8.0440998,3.2535,,9.4805002,6.0051999,2.2516,,5.1543999,4.2926002,3.5469,,,4.8835001,5.8839998,12.5171,,,5.1985002,11.5463,6.2607002,7.2284999,5.3625998,,2.2814
8.0971003,3.2944,,9.5764999,6.0551,2.28,,5.2639999,4.3382001,3.5948999,,,4.921,5.9313002,12.5621,,,5.2874999,11.6063,6.3122001,7.2775998,5.4032001,,2.3097
8.1718998,3.3254001,,9.6380997,6.0847001,2.3216,,5.3288002,4.4282999,3.6933,,,4.9471998,5.9854002,12.6173,,,5.3343,11.6544,6.3622999,7.3309999,5.4631,,2.3531001
8.2356005,3.3604,,9.7192001,6.1111999,2.3708,,5.3575001,4.4906998,3.7442999,,,4.9861999,6.0517998,12.6668,,,5.3842001,11.7382,6.4158001,7.3797002,5.5019002,,2.3996
8.3029003,3.4187,,9.7879,6.1374998,2.4470999,,5.3860002,4.5339999,3.7971001,,,5.0163999,6.1143999,12.7255,,,5.4425001,11.8558,6.4615002,7.4278998,5.5832,,2.4437001
8.3594999,3.4456999,,9.8436003,6.1669002,2.4954,,5.4189,4.5977001,3.8426001,,,5.0450001,6.1796999,12.7732,,,5.4931002,11.9381,6.5138001,7.4819999,5.6258001,,2.4916
8.4373999,3.4726,,9.9398003,6.2056999,2.5328,,5.4920001,4.6391001,3.8938999,,,5.0819998,6.2375998,12.8234,,,5.5444999,12.0136,6.5668001,7.5218,5.6747999,,2.5478001
