20220818a,20220818c,20220819a,20220819b,20220826a_1,20220826a_2,20220826b,20220826c,20220826d,20220919a,20220919b,20220919c,20220919d,20191206b,20191206c,20191206d,20191209a,20191209b,20191209c,20191209e,20191209f,20191209g_1,20191209g_2,20191209h,202191209i,20191209j,20191209k,20191217b,20191217c,20191217e,20191217f,20191217j,20191219b,20191219e,20191219g,20191219h,20191219i,20191219j
1.0505,3.6092999,1.9304,,1.8114001,1.9383,3.6600001,0.56739998,2.7786,8.7563,1.4598,1.8327,4.645,1.6114,3.5723,0.98610002,2.753,1.2207,2.1788001,0.81349999,1.2179,3.6991999,3.1055,4.2553,1.0941,2.0602,2.9209001,2.342,2.8589001,2.4266,6.2997999,2.6914999,1.9935,3.5724001,0.94309998,1.4984,0.87349999,6.2259998
1.071,3.7131,1.9795001,,1.85,1.9796,3.747,0.57840002,2.852,8.9862003,1.4814,1.875,4.7514,1.6428,3.6661,1.0069,2.8318999,1.2489001,2.2260001,0.833,1.2469,3.7841001,3.1793001,4.3449998,1.1145,2.096,2.984,2.3891001,2.9351001,2.4735999,6.4685001,2.7521,2.0213001,3.6775999,0.9648,1.5355,0.89300001,6.3628998
1.0962,3.7611001,2.0697,,1.8882999,2.0055001,3.8241999,0.59020001,2.9398,9.1035004,1.5249,1.9220999,4.8319998,1.6778001,3.7581999,1.0303,2.8736,1.2787,2.2732,0.85039997,1.2737,3.8717,3.2079,4.3863001,1.1406,2.1210001,3.0574999,2.4437001,2.9923999,2.5297999,6.5867,2.8294001,2.0622001,3.7758,0.98580003,1.5698,0.91189998,6.4959998
1.1173,3.8670001,2.1847,,1.9202,2.0267999,3.8840001,0.60320002,2.9925001,9.2565002,1.5517,1.966,4.9692001,1.7119,3.7997999,1.0518,2.9394,1.3034,2.3285,0.8678,1.3006999,3.9612999,3.3036001,4.4633999,1.1605999,2.1582999,3.1208,2.4932001,3.0550001,2.5782001,6.7546,2.8938999,2.0747001,3.8862,1.007,1.6021,0.9314,6.6410999
1.1442,3.9124999,2.2490001,,1.9548,2.0559001,3.9609001,0.61549997,3.0610001,9.4589996,1.5804,2.0488,5.1076999,1.7413,3.8712001,1.0753,2.9963,1.3275,2.3812001,0.88639998,1.3263,4.0379,3.3501999,4.5422001,1.1887,2.1912,3.1870999,2.5492001,3.1348,2.6373,6.8864999,2.9612,2.1063001,3.9756999,1.0287,1.6298,0.94999999,6.7940998
1.1677999,3.9495001,2.2934,,1.9928,2.0962999,4.0556998,0.6279,3.1403,9.5607996,1.6244,2.0838001,5.1996999,1.7753,3.9797001,1.0997,3.0399001,1.349,2.4274001,0.9052,1.3521,4.1441002,3.3822,4.5773001,1.211,2.2219,3.2413001,2.5983,3.1965001,2.6898,7.1020002,3.0378001,2.1393001,4.0862002,1.0513,1.664,0.96950001,6.9113002
1.1894,4.0127001,2.3534999,,2.0511999,2.1062,4.1297998,0.63980001,3.2460999,9.7386999,1.642,2.1496999,5.2810998,1.8087,4.0678,1.1208,3.0913999,1.3778,2.4721999,0.92339998,1.3803,4.2473998,3.4068999,4.6998,1.2352,2.2525001,3.2966001,2.6499,3.2557001,2.7430999,7.2533002,3.0974,2.1879001,4.1903,1.0729001,1.698,0.9874,7.0436001
1.2122999,4.0826001,2.4381001,,2.0926001,2.1568,4.1996002,0.6541,3.3306999,9.9638996,1.6746,2.1942,5.4299998,1.8421,4.1536999,1.1418,3.1414001,1.404,2.5257001,0.94,1.4085,4.3467999,3.5051,4.7631998,1.2581,2.2932999,3.3513,2.7016001,3.3331001,2.7967999,7.3757,3.1538,2.1998999,4.2916002,1.0934,1.7313,1.0069,7.1461
1.2352,4.1815,2.4839001,,2.1421001,2.198,4.2799001,0.66680002,3.3886001,10.0974,1.6991,2.2665999,5.5780001,1.8996,4.1943998,1.164,3.181,1.432,2.5674,0.95740002,1.4368,4.4355998,3.5745001,4.8045998,1.2787,2.3333001,3.4100001,2.7535,3.392,2.8578999,7.4920998,3.2274001,2.207,4.3762999,1.1127,1.7642,1.0264,7.2596998
1.2557,4.2448001,2.5655999,,2.1807001,2.2074001,4.3548002,0.67949998,3.4807,10.2811,1.7296,2.29,5.7398,1.9488,4.2754998,1.1849,3.2392001,1.4591,2.6238999,0.9738,1.4643,4.5219002,3.6066999,4.8648,1.3046,2.3803999,3.4656999,2.8334,3.4538,2.9021001,7.6550999,3.2886,2.2460999,4.4909,1.1339,1.7954,1.0437,7.3923998
1.2823,4.3832998,2.6605999,,2.2390001,2.2564001,4.4373002,0.69190001,3.5655,10.3915,1.76,2.372,5.8859,1.9878,4.3699002,1.2064,3.2873001,1.4859,2.6733999,0.99290001,1.4938999,4.5988002,3.7063,4.9717999,1.327,2.4240999,3.52,2.8789999,3.5322001,2.9572999,7.7750001,3.3459001,2.2931001,4.5908999,1.1554,1.8275,1.0641,7.5043998
