20220912a,20220912b,20220912c,20220912d,20220912e,20220912f,20221010a_1,20221010a_2,20221010b,20221010c_1,20221010c_2,20221010d,20221104a,20221104b,20221104c,20221104e,20221104f,20221104g,20191216a,20191216b,20191216c,20191216d,20191216e,20191216f,20191216g,20191216i,20191216j,20191216k,20191216m,20191216n,20191218b,20191218c,20191218e,20191220b,20191220c,20191220d,20191220e,20191220f,20191220g
2.3076999,1.4645,1.5474,,6.5016999,4.4959998,6.2876,6.2087998,8.1111002,7.1912999,3.2678001,1.376,12.0693,8.5058002,13.7971,,8.6885004,1.5408,4.5384002,1.4504,2.1803999,5.5858002,3.6896999,3.3037,0.39219999,9.3620996,,2.1115999,12.6271,4.0721002,1.4563,1.0733,4.1943998,1.3868001,2.5699,2.6956,,1.7289,4.1766
2.3808,1.4947,1.5807,,6.7202001,4.5811,6.4105,6.3759999,8.2376003,7.2831998,3.3724,1.4062001,12.1832,8.7081003,13.9257,,8.8729,1.5779999,4.6426001,1.4795001,2.2511001,5.8032999,3.78,3.3736,0.40040001,9.6843004,,2.1742001,12.7503,4.1511002,1.4906,1.0993,4.2866998,1.4058,2.6767001,2.7962999,,1.7638,4.2672
2.4435999,1.526,1.6197,,6.9022002,4.6823001,6.6736999,6.4977002,8.4216995,7.3655,3.4779999,1.4372,12.2305,8.8788004,14.0437,,9.0032997,1.6107,4.7234001,1.5124,2.2883,6.0029998,3.8556001,3.4470999,0.40959999,9.8778,,2.2128999,12.8558,4.2066998,1.5193,1.1260999,4.3944001,1.4252,2.7544999,2.8777001,,1.7997,4.2989998
2.4834001,1.529,1.6535,,7.1016998,4.7789001,6.7856998,6.5742002,8.7708998,7.4587002,3.5722001,1.4669,12.2593,9.0572996,14.165,,9.1871004,1.6486,4.8653002,1.5422,2.3622999,6.1996002,3.9339001,3.4797001,0.41800001,9.9791002,,2.2818999,12.9239,4.2835999,1.5509,1.1515,4.4973001,1.4605,2.8803999,2.9762001,,1.8291,4.3255
2.7084999,1.5475,1.6559,,7.2967,4.9861999,7.0015998,6.6752,8.9307003,7.5514002,3.6886001,1.4938999,12.2762,9.2848997,14.2766,,9.3039999,1.6851,4.9453001,1.5738,2.4616001,6.4045,4.0145001,3.5592,0.4258,10.0722,,2.3680999,13.005,4.3722,1.5827,1.1747,4.5966001,1.4819,2.9779,3.0682001,,1.878,4.3425002
2.7690001,1.5737,1.6889,,7.3964,5.1047001,7.1107998,6.7625999,9.1382999,7.5992999,3.7630999,1.5267,12.3023,9.4863005,14.3624,,9.4975004,1.7185,5.0616002,1.6044,2.4937,6.6942,4.0833001,3.5967,0.43349999,10.1793,,2.4756,13.1725,4.4819999,1.6147,1.1998,4.6917,1.5036,3.0692999,3.168,,1.9233,4.3611002
2.7950001,1.6094,1.7311,,7.5939999,5.2796998,7.2136002,6.8557,9.2915001,7.6721001,3.8731,1.5585999,12.3329,9.5938997,14.3902,,9.5942001,1.7497,5.1430001,1.6362,2.5588,6.7982001,4.1454,3.6722,0.4418,10.3035,,2.4995,13.3046,4.5759001,1.6457,1.2252001,4.8023,1.5329,3.1638,3.2646999,,1.9741,4.3758998
2.9063001,1.6486,1.7704,,7.7823,5.5068002,7.3056002,6.9716001,9.6183996,7.7793999,3.9482,1.5917,12.3944,9.908,14.4954,,9.7753,1.7826999,5.2614002,1.6701,2.5906999,6.9811001,4.2283001,3.7637999,0.4508,10.3774,,2.5699,13.4623,4.6637998,1.6793,1.2514,4.8965001,1.5559,3.2535,3.3213999,,2.0037999,4.4682002
3.1056001,1.6816,1.8112,,7.8955002,5.6903,7.4752002,7.0830002,9.7985001,7.9061999,3.9916999,1.6169,12.4677,10.1784,14.6429,,9.8955002,1.8168,5.3162999,1.6995,2.6602001,7.1938,4.2979999,3.8745999,0.4589,10.461,,2.6059,13.6393,4.7617002,1.7130001,1.2772,4.9916,1.584,3.296,3.3675001,,4.9050002,4.5646
3.1545999,1.7108999,1.8661,,8.0023003,6.1032,7.6125998,7.2079,9.9524002,7.9954,4.0910001,1.6487,12.5196,10.2841,14.7848,,10.0865,1.8501,5.3987999,1.7321,2.7644,7.4038,4.3832002,3.9561999,0.4677,10.6591,,2.6666,13.7592,4.8622999,1.7451,1.3016,5.0847998,1.6223,3.3845999,3.4584999,,5.3056002,4.6657
