20220912a,20220912b,20220912c,20220912d,20220912e,20220912f,20221010a_1,20221010a_2,20221010b,20221010c_1,20221010c_2,20221010d,20221104a,20221104b,20221104c,20221104e,20221104f,20221104g,20191216a,20191216b,20191216c,20191216d,20191216e,20191216f,20191216g,20191216i,20191216j,20191216k,20191216m,20191216n,20191218b,20191218c,20191218e,20191220b,20191220c,20191220d,20191220e,20191220f,20191220g,20191220h
3.1068001,1.9112,1.9112999,13.6451,4.9180999,4.9636002,7.9145999,4.7287998,9.8521004,8.4976997,3.7755001,1.63,6.1879001,4.3905001,10.1756,,9.1872997,1.9901,5.0467,2.1417,2.9145,6.3622999,4.033,2.6475,1.3264,5.9805999,,2.1108999,11.8971,2.9895,2.0992999,1.2091,2.9374001,1.4547,2.6749001,3.1238999,,1.5949,4.4812999,2.4793
3.1521001,1.9464999,1.9502,13.7563,4.9612002,5.1052999,8.158,4.8499999,10.0511,8.5900002,3.9001,1.6648999,6.3855,4.5061002,10.2483,,9.3956003,2.0924001,5.1059999,2.1872001,2.9586999,6.5432,4.0976,2.6821001,1.3551,6.0953999,,2.1417999,12.0327,3.0695,2.1391001,1.2309999,2.9779999,1.4859,2.7161,3.1853001,,1.6243,4.5724001,2.5274
3.3499,1.9737,1.99,13.9378,5.1185002,5.1733999,8.2903004,4.9043999,10.2346,8.7068996,3.9551001,1.7017,6.5840001,4.5486002,10.3988,,9.5915003,2.1348,5.1805,2.3120999,3.0637,6.7649002,4.1806998,2.724,1.3802,6.1945,,2.1691,12.207,3.1222,2.1763,1.2557,3.1150999,1.5213,2.7565,3.2918999,,1.6556,4.6856999,2.5797
3.3673,2.1517999,2.0164001,14.0276,5.1612,5.2839999,8.3972998,5.0795999,10.3089,8.7873001,3.9914999,1.7427,6.7698998,4.7375998,10.7572,,9.7782001,2.1924,5.2679,2.3499999,3.1094999,6.9341002,4.2621999,2.7814,1.4043,6.3087001,,2.1993001,12.3355,3.1754999,2.2261,1.2794,3.1492,1.5566,2.8583,3.3504,,1.6816,4.7663999,2.6322999
3.388,2.1874001,2.1445999,14.3227,5.2027001,5.3400002,8.5563002,5.1431999,10.4794,8.8863001,4.0767002,1.7732,6.8048,4.7881999,10.7811,,9.9642,2.2913001,5.336,2.3878,3.1487,7.1409001,4.3422999,2.8741,1.4363,6.4710999,,2.2667,12.5473,3.2518001,2.2669001,1.3020999,3.1842,1.5880001,2.8994,3.3966,,1.7411,4.8733001,2.6833
3.5299001,2.3491001,2.181,14.4088,5.3561001,5.3871999,8.7007999,5.2775002,10.6851,8.9902,4.1241002,1.8029,7.0022998,4.9190001,10.9617,,10.1521,2.3371,5.4036999,2.4890001,3.1981001,7.3453999,4.4222002,2.9147,1.4632,6.5727,,2.3051,12.6577,3.2939,2.3052001,1.3372,3.2894001,1.6188999,2.9518001,3.5165999,,1.7732,4.9653001,2.7335999
3.5604999,2.3798001,2.5731001,14.5191,5.3994002,5.4850998,8.7707005,5.3652,10.892,9.0952997,4.1664,1.834,7.1999002,4.9653001,11.1687,,10.3898,2.3729,5.4818001,2.5290999,3.2841001,7.5331998,4.4991999,2.9533,1.4898,6.7206001,,2.3474,12.831,3.3476,2.3448,1.3652,3.3138001,1.6593,3.0617001,3.5771999,,1.7983,,2.7767
3.605,2.5272,2.5876999,14.6595,5.5373001,5.5352001,8.9108,5.4303999,11.0264,9.1915998,4.2810998,1.8619,7.5609002,5.1282001,11.3203,,10.5727,2.4869001,5.5475001,2.5620999,3.3383,7.5988998,4.5974998,2.9921999,1.5232,6.7939,,2.3842001,12.9976,3.3922,2.3838,1.3885,3.3494999,1.6963,3.1111,3.7227001,,1.8253,,2.8239
3.7421999,2.552,2.7288001,14.7426,5.5904999,5.5921998,8.9713001,5.4987001,11.2372,9.3069,4.3414998,1.8993,7.5942001,5.1760001,11.4641,,10.7405,2.5397999,5.6332002,2.6752999,3.3849001,7.7405,4.6697001,3.0632,1.5523,6.9400001,,2.4698,13.2575,3.4651999,2.4375999,1.4099,3.3866,1.7277,3.1547999,3.7732999,,1.8478,,2.8652999
3.7902999,2.5804999,2.9342999,14.8717,5.75,5.6917,9.1234999,5.5753999,11.4782,9.4083996,4.3862,1.9317,7.7803998,5.2976999,11.6254,,10.7618,2.5802,5.6977,2.7061999,3.4684999,7.9597001,4.7417002,3.1087,1.5806,7.0896001,,2.4914999,13.4885,3.5165999,2.4726,1.4298,3.5016,1.7565,3.1961,3.9079001,,1.8777,,2.9045
